Year,Malaysia,Johor,W.P..Kuala.Lumpur,Selangor,Pulau.Pinang,Negeri.Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2009,4.129006211,3.36777488,5.353058188,3.045985687,3.932361395,3.05480226,3.300670464,2.060169694,3.734658168,3.339483582,4.011490443,3.20981204,3.073939626,5.902347948,5.660569673
2009.25,4.130106545,3.549815341,5.232662355,3.051911025,4.065306732,3.002114165,3.17815775,2.045999646,3.725474635,3.470035666,3.968186467,3.313707185,3.188863109,6.082915956,5.572475048
2009.5,4.104835821,3.358872152,5.120524066,3.095512177,4.06031746,2.931383552,3.071903598,2.114568324,3.678042959,3.378003972,4.024459374,3.405350833,3.228659087,5.964861958,5.278290837
2009.75,4.073596877,3.176349275,5.022035928,3.120973678,4.076274896,2.830284285,3.138121086,2.045443167,3.670079935,3.296814411,3.918497465,3.430833952,3.283987473,5.973871912,5.469318081
2010,4.018448276,3.280966093,4.849210203,3.089829524,4.023613815,2.836865134,3.058231508,1.99733374,3.619505651,3.223430069,3.963328667,3.389350728,3.095445736,6.060414016,5.331623745
2010.25,4.072609309,3.174947641,4.854916038,3.142591315,4.035261207,2.794922367,3.036333984,2.051278187,3.634855004,3.25459475,3.927504029,3.156287211,3.071148879,5.978984657,5.477198487
2010.5,4.065632502,3.225558303,4.742705225,3.182171737,3.981593039,2.796677345,3.017644591,2.086063588,3.616053841,3.259253986,3.894854906,3.281907433,3.046764148,6.039166081,5.58663534
2010.75,4.080761905,3.151909001,4.68930342,3.22910942,4.06057123,2.790316094,3.098479977,2.126638762,3.623559367,3.293546116,4.003336911,3.449649989,2.907426488,6.12694663,5.391713237
2011,4.091996435,3.126606342,4.639099735,3.275077469,4.056141076,2.908190199,3.117794043,2.047055174,3.522617421,3.316603213,3.92012145,3.425411407,3.11993191,6.068386053,5.461679132
2011.25,4.129759089,3.158215883,4.726524995,3.290764924,4.119848082,2.829279592,3.143214649,2.061101782,3.633956627,3.334550549,4.048107432,3.20030454,3.091552667,6.124518416,5.481429729
