"","Year","Malaysia","Bumiputera","Cina.Chinese","India.Indians","Lain.lain.Others","Bandar.Urban","Luar.bandar.Rural","Johor","Kedah","Kelantan","Melaka","Negeri.Sembilan","Pahang","Pulau.Pinang","Perak","Perlis","Selangor","Terengganu","Sabah","Sarawak","W.P..Kuala.Lumpur","W.P...Labuan","W.P..Putrajaya"
"1",1970,264,172,394,304,813,428,200,237,189,151,265,286,286,292,254,140,421,173,513,426,1058,3726,5294
"2",1970.25,270.125,176.375,402.75,310.5,843.375,436.875,204.3125,246.0625,193.1875,156,274.0625,292.25,287.1875,303.1875,257.1875,144.125,432.0625,175.0625,513,426,1058,3726,5294
"3",1970.5,276.25,180.75,411.5,317,873.75,445.75,208.625,255.125,197.375,161,283.125,298.5,288.375,314.375,260.375,148.25,443.125,177.125,513,426,1058,3726,5294
"4",1970.75,282.375,185.125,420.25,323.5,904.125,454.625,212.9375,264.1875,201.5625,166,292.1875,304.75,289.5625,325.5625,263.5625,152.375,454.1875,179.1875,513,426,1058,3726,5294
"5",1971,288.5,189.5,429,330,934.5,463.5,217.25,273.25,205.75,171,301.25,311,290.75,336.75,266.75,156.5,465.25,181.25,513,426,1058,3726,5294
"6",1971.25,294.625,193.875,437.75,336.5,964.875,472.375,221.5625,282.3125,209.9375,176,310.3125,317.25,291.9375,347.9375,269.9375,160.625,476.3125,183.3125,513,426,1058,3726,5294
"7",1971.5,300.75,198.25,446.5,343,995.25,481.25,225.875,291.375,214.125,181,319.375,323.5,293.125,359.125,273.125,164.75,487.375,185.375,513,426,1058,3726,5294
"8",1971.75,306.875,202.625,455.25,349.5,1025.625,490.125,230.1875,300.4375,218.3125,186,328.4375,329.75,294.3125,370.3125,276.3125,168.875,498.4375,187.4375,513,426,1058,3726,5294
"9",1972,313,207,464,356,1056,499,234.5,309.5,222.5,191,337.5,336,295.5,381.5,279.5,173,509.5,189.5,513,426,1058,3726,5294
"10",1972.25,319.125,211.375,472.75,362.5,1086.375,507.875,238.8125,318.5625,226.6875,196,346.5625,342.25,296.6875,392.6875,282.6875,177.125,520.5625,191.5625,513,426,1058,3726,5294
"11",1972.5,325.25,215.75,481.5,369,1116.75,516.75,243.125,327.625,230.875,201,355.625,348.5,297.875,403.875,285.875,181.25,531.625,193.625,513,426,1058,3726,5294
"12",1972.75,331.375,220.125,490.25,375.5,1147.125,525.625,247.4375,336.6875,235.0625,206,364.6875,354.75,299.0625,415.0625,289.0625,185.375,542.6875,195.6875,513,426,1058,3726,5294
