Year,Malaysia,  Bumiputera,  Cina/Chinese,  India/Indians,  Lain-lain/Others,  Bandar/Urban,  Luar bandar/Rural,  Johor,  Kedah,  Kelantan,  Melaka,  Negeri Sembilan,  Pahang,  Pulau Pinang,  Perak,  Perlis,  Selangor,  Terengganu,  Sabah,  Sarawak,  W.P. Kuala Lumpur,  W.P.  Labuan,  W.P. Putrajaya
1970,166,120,268,194,250,265,139,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
1974,227,163,343,277,355,345,184,269,151,108,255,273,210,241,213,147,363,130,n.a,n.a,n.a,n.a,n.a
1976,308,233,480,360,394,506,257,370,193,163,350,348,324,363,286,196,441,199,309,260,645,n.a,n.a
"1979
",429,338,656,521,653,656,358,518,259,256,528,486,481,534,394,223,647,258,493,365,n.a,n.a,n.a
1984,719,583,1060,775,1399,1045,602,793,472,436,738,753,731,812,646,485,1010,524,749,660,1217,n.a,n.a
1987,738,613,1063,805,788,1022,636,816,531,482,780,674,697,833,659,544,1049,472,726,754,1180,n.a,n.a
1989,816,679,1176,890,698,1127,708,880,552,528,828,842,764,988,719,635,1145,520,863,819,1294,n.a,n.a
1992,1077,887,1565,1184,833,1444,778,1225,758,632,1118,987,957,1365,958,761,1572,680,994,999,1753,n.a,n.a
1995,1377,1143,2010,1553,899,1829,991,1610,990,789,1391,1358,1138,1693,1102,889,2255,756,1133,1305,2321,n.a,n.a
1997,1724,1407,2583,2081,1163,2320,1239,2056,1171,872,1793,1731,1259,2338,1522,1114,2850,1026,1390,1499,3090,n.a,n.a
1999,1704,1423,2486,1969,997,2246,1249,2012,1225,946,1715,1777,1202,2323,1350,1086,2750,1155,1264,1667,2828,n.a,n.a
2002,2049,1695,2943,2272,1542,2582,1289,2212,1451,1154,2051,2080,1423,2572,1613,1431,3144,1331,1583,1704,3364,n.a,n.a
2004,2211,1862,3089,2469,1567,3767,1402,2325,1607,1258,2308,2288,1783,2650,1732,1459,3588,1353,1606,1804,3336,n.a,n.a
2007,2552,2228,3452,2760,1884,3144,1709,2726,1756,1510,2717,2556,2235,2902,1905,1746,4046,1796,1189,2250,3697,2777,4288
2009,2841,2534,3643,2853,2162,3435,1836,2958,1966,1713,3005,2711,2479,3200,2094,1832,4306,2096,2066,2394,4409,3498,5450
2012,3626,3282,4643,3676,2762,4238,2372,3650,2633,2276,3923,3575,3067,4039,2665,2387,5353,3034,2860,3047,5847,5063,6486
2014,4585,4214,5708,4627,4372,5156,3123,5197,3451,2716,5029,4128,3389,4702,3451,3500,6214,3777,3745,3778,7620,5684,7512
2016,5228,4846,6582,5428,3780,5860,3471,5652,3811,3079,5588,4579,3979,5409,4006,4204,7225,4694,4110,4163,9073,5928,8275
2019,5873,5420,7391,5981,4181,6561,3828,6427,4325,3563,6054,5005,4440,6169,4273,4594,8210,5545,4235,4544,10549,6726,9983
2020,5209,,,,,,,5690,3829,3010,5447,4478,4033,5474,3759,4043,7300,4790,3773,3831,9093,6126,9743
